enemy_marines,predictor_marines,reward,enemy_minerals,enemy_gas,enemy_workers,enemy_military_units,enemy_buildings,enemy_attack_time,enemy_strategy,enemy_damage_inflicted,enemy_opponent_resources,enemy_result
9,4,1,50,0,12,0,1,[13312],attack,0,0,1
10,3,1,50,0,12,0,1,[14336],attack,0,0,1
4,5,-1,50,0,12,0,1,[5120],defense,1700,0,0
4,4,-1,50,0,12,0,1,[8192],defense,1243,0,0
8,8,1,50,0,12,0,1,[12288],attack,0,0,1
5,7,1,50,0,12,0,1,[9216],defense,84,0,1
7,4,1,50,0,12,0,1,[13312],attack,0,0,1
8,8,1,50,0,12,0,1,[13312],attack,175,0,1
2,6,-1,50,0,12,0,1,[7168],defense,1952,0,0
9,4,1,50,0,12,0,1,[12288],attack,19,0,1
3,8,-1,50,0,12,0,1,[6144],defense,354,0,0
3,8,-1,50,0,12,0,1,[6144],defense,280,0,0
2,7,-1,50,0,12,0,1,[6144],defense,89,0,0
4,10,-1,50,0,12,0,1,[6144],defense,205,0,0
4,1,-1,50,0,12,0,1,[8192],defense,152,0,1
3,9,-1,50,0,12,0,1,[7168],defense,243,0,0
4,1,1,50,0,12,0,1,[8192],defense,18,0,1
2,7,-1,50,0,12,0,1,[5120],defense,151,0,0
4,10,-1,50,0,12,0,1,[8192],defense,1301,0,1
8,5,1,50,0,12,0,1,[13312],attack,0,0,1
3,8,-1,50,0,12,0,1,[5120],defense,1583,0,0
9,1,1,50,0,12,0,1,[14336],attack,0,0,1
7,10,-1,50,0,12,0,1,[12288],attack,73,0,0
4,8,1,50,0,12,0,1,[9216],attack,112,0,1
3,1,1,50,0,12,0,1,[9216],defense,0,0,1
8,4,1,50,0,12,0,1,[11264],attack,0,0,1
5,7,1,50,0,12,0,1,[9216],defense,0,0,1
8,7,1,50,0,12,0,1,[10240],attack,139,0,1
3,9,-1,50,0,12,0,1,[7168],defense,779,0,0
8,7,1,50,0,12,0,1,[10240],attack,1,0,1
8,9,-1,50,0,12,0,1,[7168],attack,137,0,0
4,7,-1,50,0,12,0,1,[9216],defense,124,0,0
7,10,1,50,0,12,0,1,[12288],attack,117,0,1
9,5,1,50,0,12,0,1,[9216],attack,278,0,1
8,7,-1,50,0,12,0,1,[12288],attack,81,0,0
8,8,1,50,0,12,0,1,[12288],attack,0,0,1
6,10,-1,50,0,12,0,1,[12288],attack,681,0,0
7,7,1,50,0,12,0,1,[11264],attack,0,0,1
3,7,-1,50,0,12,0,1,[10240],attack,518,0,0
3,6,-1,50,0,12,0,1,[7168],defense,455,0,0
